title:Meditation, start timestamp:1583521498.648371, stop timestamp:1583521564.628264, headset type:INSIGHT, headset serial:A1D2068CFA, headset firmware:930, subject name:Corey, channels:31, sampling rate:eeg_128;mot_64, samples:8464      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1583521502.070877,18.000000,0.000000,4400.000000,4299.487305,4138.461426,4032.820557,4253.333496,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,9.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.078773,19.000000,0.000000,4386.153809,4289.230957,4120.512695,4026.666748,4244.615234,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.086470,20.000000,0.000000,4382.051270,4289.230957,4110.769043,4030.769287,4232.820313,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,10.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.094366,21.000000,0.000000,4392.307617,4293.333496,4115.384766,4042.564209,4232.820313,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.102063,22.000000,0.000000,4418.461426,4305.641113,4133.846191,4042.564209,4245.128418,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,11.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.109958,23.000000,0.000000,4430.256348,4303.589844,4143.077148,4038.461426,4251.794922,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.117655,24.000000,0.000000,4426.666504,4295.384766,4132.307617,4034.358887,4249.230957,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,12.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.875013,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.125551,25.000000,0.000000,4409.230957,4293.333496,4127.179688,4032.820557,4223.589844,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.133248,26.000000,0.000000,4403.589844,4309.743652,4149.230957,4040.512939,4207.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,13.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.141143,27.000000,0.000000,4391.282227,4303.589844,4154.358887,4037.948730,4193.846191,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
